experiment_id,run_id,seed,users,arrival_rate,traffic_pattern,algorithm,architecture,distributed_latency,failure_rate,fail_closed,rate_limit,simulation_duration,total_requests,accepted_requests,rejected_requests,throughput,acceptance_rate,rejection_rate,p95_latency,jain_fairness,limit_overshoot
1,17,230838618,20,50.0,constant,sliding_window,local,0,0.0,True,50,10.0,501,495,6,49.5,0.9880239520958084,0.011976047904191617,0.0,0.963678911350586,0.0
1,18,728210390,20,50.0,constant,sliding_window,local,0,0.0,True,50,10.0,501,495,6,49.5,0.9880239520958084,0.011976047904191617,0.0,0.9676368375325803,0.0
1,19,3004104055,20,50.0,constant,sliding_window,local,0,0.0,True,50,10.0,501,495,6,49.5,0.9880239520958084,0.011976047904191617,0.0,0.9670258110348093,0.0
1,20,285342767,20,50.0,constant,sliding_window,local,0,0.0,True,50,10.0,501,495,6,49.5,0.9880239520958084,0.011976047904191617,0.0,0.9468467424066774,0.0
1,21,590118450,20,50.0,constant,sliding_window,local,0,0.0,True,50,10.0,501,495,6,49.5,0.9880239520958084,0.011976047904191617,0.0,0.9655016155725431,0.0
1,22,4281486953,20,50.0,constant,sliding_window,local,0,0.0,True,50,10.0,501,495,6,49.5,0.9880239520958084,0.011976047904191617,0.0,0.9753403391449725,0.0
1,23,1761294487,20,50.0,constant,sliding_window,local,0,0.0,True,50,10.0,501,495,6,49.5,0.9880239520958084,0.011976047904191617,0.0,0.9384335503638452,0.0
1,24,3169603661,20,50.0,constant,sliding_window,local,0,0.0,True,50,10.0,501,495,6,49.5,0.9880239520958084,0.011976047904191617,0.0,0.957353285926389,0.0
1,25,541961883,20,50.0,constant,sliding_window,local,0,0.0,True,50,10.0,501,495,6,49.5,0.9880239520958084,0.011976047904191617,0.0,0.9650452934226074,0.0
1,26,2956321291,20,50.0,constant,sliding_window,local,0,0.0,True,50,10.0,501,495,6,49.5,0.9880239520958084,0.011976047904191617,0.0,0.9462616822429907,0.0
1,27,3896031213,20,50.0,constant,sliding_window,local,0,0.0,True,50,10.0,501,495,6,49.5,0.9880239520958084,0.011976047904191617,0.0,0.9561578084757668,0.0
1,28,2219260307,20,50.0,constant,sliding_window,local,0,0.0,True,50,10.0,501,495,6,49.5,0.9880239520958084,0.011976047904191617,0.0,0.9644375344406833,0.0
1,29,3195779948,20,50.0,constant,sliding_window,local,0,0.0,True,50,10.0,501,495,6,49.5,0.9880239520958084,0.011976047904191617,0.0,0.9514056068960162,0.0
1,30,581086587,20,50.0,constant,sliding_window,local,0,0.0,True,50,10.0,501,495,6,49.5,0.9880239520958084,0.011976047904191617,0.0,0.9792382703221165,0.0
1,31,1131484267,20,50.0,constant,sliding_window,local,0,0.0,True,50,10.0,501,495,6,49.5,0.9880239520958084,0.011976047904191617,0.0,0.9432019401031643,0.0
1,32,3523785461,20,50.0,constant,sliding_window,local,0,0.0,True,50,10.0,501,495,6,49.5,0.9880239520958084,0.011976047904191617,0.0,0.9308753134260315,0.0
1,33,2609272965,20,50.0,constant,sliding_window,local,0,0.0,True,50,10.0,501,495,6,49.5,0.9880239520958084,0.011976047904191617,0.0,0.9531821364661947,0.0
1,34,3977586245,20,50.0,constant,sliding_window,local,0,0.0,True,50,10.0,501,495,6,49.5,0.9880239520958084,0.011976047904191617,0.0,0.9519970471676121,0.0
1,35,2478388801,20,50.0,constant,sliding_window,local,0,0.0,True,50,10.0,501,495,6,49.5,0.9880239520958084,0.011976047904191617,0.0,0.9648932818776089,0.0
1,36,93863552,20,50.0,constant,sliding_window,local,0,0.0,True,50,10.0,501,495,6,49.5,0.9880239520958084,0.011976047904191617,0.0,0.9530338389731622,0.0
1,37,1432744092,20,50.0,constant,sliding_window,local,0,0.0,True,50,10.0,501,495,6,49.5,0.9880239520958084,0.011976047904191617,0.0,0.9841151899750984,0.0
1,38,45276698,20,50.0,constant,sliding_window,local,0,0.0,True,50,10.0,501,495,6,49.5,0.9880239520958084,0.011976047904191617,0.0,0.9687079939906698,0.0
1,39,605705033,20,50.0,constant,sliding_window,local,0,0.0,True,50,10.0,501,495,6,49.5,0.9880239520958084,0.011976047904191617,0.0,0.954667653705291,0.0
1,40,3312540938,20,50.0,constant,sliding_window,local,0,0.0,True,50,10.0,501,495,6,49.5,0.9880239520958084,0.011976047904191617,0.0,0.9679426404361223,0.0
1,41,1588080549,20,50.0,constant,sliding_window,local,0,0.0,True,50,10.0,501,495,6,49.5,0.9880239520958084,0.011976047904191617,0.0,0.9623163930563192,0.0
1,42,1516395606,20,50.0,constant,sliding_window,local,0,0.0,True,50,10.0,501,495,6,49.5,0.9880239520958084,0.011976047904191617,0.0,0.9759619214530391,0.0
1,43,3972224861,20,50.0,constant,sliding_window,local,0,0.0,True,50,10.0,501,495,6,49.5,0.9880239520958084,0.011976047904191617,0.0,0.9717815499325771,0.0
1,44,2494100961,20,50.0,constant,sliding_window,local,0,0.0,True,50,10.0,501,495,6,49.5,0.9880239520958084,0.011976047904191617,0.0,0.9688612099644128,0.0
1,45,1886097584,20,50.0,constant,sliding_window,local,0,0.0,True,50,10.0,501,495,6,49.5,0.9880239520958084,0.011976047904191617,0.0,0.961410185984462,0.0
1,46,1398024126,20,50.0,constant,sliding_window,local,0,0.0,True,50,10.0,501,495,6,49.5,0.9880239520958084,0.011976047904191617,0.0,0.9582518576456786,0.0
1,47,1598108148,20,50.0,constant,sliding_window,local,0,0.0,True,50,10.0,501,495,6,49.5,0.9880239520958084,0.011976047904191617,0.0,0.9576526225279449,0.0
1,48,1582613215,20,50.0,constant,sliding_window,local,0,0.0,True,50,10.0,501,495,6,49.5,0.9880239520958084,0.011976047904191617,0.0,0.9570541363955941,0.0
1,49,555662227,20,50.0,constant,sliding_window,local,0,0.0,True,50,10.0,501,495,6,49.5,0.9880239520958084,0.011976047904191617,0.0,0.9730164403145104,0.0
1,50,2915464716,20,50.0,constant,sliding_window,local,0,0.0,True,50,10.0,501,495,6,49.5,0.9880239520958084,0.011976047904191617,0.0,0.9868103101087394,0.0
2,1,2587068805,20,50.0,constant,token_bucket,local,0,0.0,True,50,10.0,501,501,0,50.1,1.0,0.0,0.0,0.9478173853938524,2.0
2,2,2848154552,20,50.0,constant,token_bucket,local,0,0.0,True,50,10.0,501,501,0,50.1,1.0,0.0,0.0,0.9391641098555713,2.0
2,3,3087798466,20,50.0,constant,token_bucket,local,0,0.0,True,50,10.0,501,501,0,50.1,1.0,0.0,0.0,0.9662060204788667,2.0
2,4,2396126936,20,50.0,constant,token_bucket,local,0,0.0,True,50,10.0,501,501,0,50.1,1.0,0.0,0.0,0.9632396960626295,2.0
2,5,522242138,20,50.0,constant,token_bucket,local,0,0.0,True,50,10.0,501,501,0,50.1,1.0,0.0,0.0,0.954158747053904,2.0
2,6,666835166,20,50.0,constant,token_bucket,local,0,0.0,True,50,10.0,501,501,0,50.1,1.0,0.0,0.0,0.9176025444176354,2.0
2,7,2144715371,20,50.0,constant,token_bucket,local,0,0.0,True,50,10.0,501,501,0,50.1,1.0,0.0,0.0,0.9588242035296815,2.0
2,8,3094217516,20,50.0,constant,token_bucket,local,0,0.0,True,50,10.0,501,501,0,50.1,1.0,0.0,0.0,0.956923370186809,2.0
2,9,3447043798,20,50.0,constant,token_bucket,local,0,0.0,True,50,10.0,501,501,0,50.1,1.0,0.0,0.0,0.9498259290093091,2.0
2,10,4077412534,20,50.0,constant,token_bucket,local,0,0.0,True,50,10.0,501,501,0,50.1,1.0,0.0,0.0,0.9653142065994923,2.0
2,11,3430916929,20,50.0,constant,token_bucket,local,0,0.0,True,50,10.0,501,501,0,50.1,1.0,0.0,0.0,0.9567774643592285,2.0
2,12,133917521,20,50.0,constant,token_bucket,local,0,0.0,True,50,10.0,501,501,0,50.1,1.0,0.0,0.0,0.9761258458427315,2.0
2,13,1141997072,20,50.0,constant,token_bucket,local,0,0.0,True,50,10.0,501,501,0,50.1,1.0,0.0,0.0,0.9867167230128154,2.0
2,14,2099258069,20,50.0,constant,token_bucket,local,0,0.0,True,50,10.0,501,501,0,50.1,1.0,0.0,0.0,0.9741558643173174,2.0
