experiment_id,users,arrival_rate,traffic_pattern,algorithm,architecture,distributed_latency,failure_rate,fail_closed,rate_limit,simulation_duration,throughput_mean,throughput_std,acceptance_rate_mean,acceptance_rate_std,rejection_rate_mean,rejection_rate_std,p95_latency_mean,p95_latency_std,jain_fairness_mean,jain_fairness_std,limit_overshoot_mean,limit_overshoot_std
47,20,50.0,constant,leaky_bucket,distributed,10.0,0.01,True,50,10.0,49.59400000000001,0.25172206895701466,0.9899001996007983,0.005024392593952379,0.010099800399201598,0.005024392593952386,0.010000000000000009,0.0,0.9656922806749513,0.009023905865487217,2.0,0.0
48,20,50.0,constant,leaky_bucket,distributed,10.0,0.03,True,50,10.0,48.632,0.39519109301703637,0.970698602794411,0.00788804576880311,0.02930139720558882,0.007888045768803123,0.010000000000000009,0.0,0.9626568582837264,0.01037367058551231,1.84,0.5425863986500215
49,20,50.0,poisson,sliding_window,distributed,1.0,0.01,True,50,10.0,44.684,1.0076427938510748,0.8966652017695503,0.028139214765486167,0.10333479823044968,0.02813921476548616,0.001000000000000334,0.0,0.9566896341465869,0.013980848039774812,0.0,0.0
50,20,50.0,poisson,sliding_window,distributed,1.0,0.03,True,50,10.0,44.53200000000001,1.022045008793644,0.8893504334094233,0.02281173093719136,0.11064956659057688,0.022811730937191365,0.001000000000000334,0.0,0.9579863026357269,0.012132664245506982,0.0,0.0
51,20,50.0,poisson,sliding_window,distributed,10.0,0.01,True,50,10.0,44.996,0.8639351827538918,0.8993543762990994,0.028942301743708918,0.10064562370090066,0.028942301743708914,0.010000000000000009,0.0,0.9596323246723638,0.014357507741833765,0.0,0.0
52,20,50.0,poisson,sliding_window,distributed,10.0,0.03,True,50,10.0,44.211999999999996,1.2694313687631955,0.8923303705130878,0.02386675718684854,0.10766962948691214,0.02386675718684853,0.010000000000000009,0.0,0.9573931366402165,0.010560018201428975,0.0,0.0
53,20,50.0,poisson,token_bucket,distributed,1.0,0.01,True,50,10.0,49.258,1.787634190767228,0.9910472031300965,0.00413350406003424,0.00895279686990345,0.004133504060034239,0.001000000000000334,0.0,0.9647301652021494,0.011389933681143617,30.12,7.811888376058634
54,20,50.0,poisson,token_bucket,distributed,1.0,0.03,True,50,10.0,48.41400000000001,2.3424781749250085,0.9698594327216145,0.007474175450131538,0.030140567278385596,0.0074741754501315375,0.001000000000000334,0.0,0.9633450439071712,0.012091015620819606,29.68,9.150825099410435
55,20,50.0,poisson,token_bucket,distributed,10.0,0.01,True,50,10.0,49.918,1.9359431809844005,0.9895063791131885,0.006178006164843578,0.010493620886811595,0.006178006164843581,0.010000000000000009,0.0,0.9638118652336398,0.008981972830333343,31.92,8.854016037934425
56,20,50.0,poisson,token_bucket,distributed,10.0,0.03,True,50,10.0,48.45,2.27404925188528,0.9697498919710082,0.007087621968213461,0.030250108028991782,0.00708762196821347,0.010000000000000009,0.0,0.9616730154871357,0.010368697403686969,29.6,8.284926070883191
57,20,50.0,poisson,leaky_bucket,distributed,1.0,0.01,True,50,10.0,49.724000000000004,2.162272878246407,0.9880850762303243,0.006732056762486651,0.011914923769675739,0.006732056762486652,0.4658423471531476,0.19036054626079407,0.9670752147203359,0.011426420278242845,33.52,8.08514687559849
58,20,50.0,poisson,leaky_bucket,distributed,1.0,0.03,True,50,10.0,48.23,2.1366562662253368,0.9695476633101779,0.006704742011324497,0.03045233668982215,0.006704742011324501,0.3273783426147805,0.12930375482755324,0.9624818870420895,0.013692120534515276,27.36,6.367919597482367
59,20,50.0,poisson,leaky_bucket,distributed,10.0,0.01,True,50,10.0,49.496,1.944629527699299,0.9901961233493517,0.004261050259167065,0.009803876650648169,0.004261050259167068,0.420175117780535,0.18596800533648142,0.9665421221962016,0.010142941125872114,31.64,8.905638663229045
60,20,50.0,poisson,leaky_bucket,distributed,10.0,0.03,True,50,10.0,48.722,2.105354126981967,0.970627472521857,0.00711129736597072,0.02937252747814293,0.007111297365970721,0.37456328335123695,0.1809755405629139,0.9652755638788416,0.009898139070336459,29.28,10.313176038447127
61,20,50.0,ramp,sliding_window,distributed,1.0,0.01,True,50,10.0,30.340000000000003,1.6087262041752162,0.973194232017163,0.013317088165312654,0.02680576798283694,0.01331708816531265,0.001000000000000334,0.0,0.9422448366034857,0.01657802581345519,0.0,0.0
62,20,50.0,ramp,sliding_window,distributed,1.0,0.03,True,50,10.0,29.573999999999998,1.6526112670558677,0.9531719890575231,0.017678710670854372,0.04682801094247704,0.017678710670854376,0.001000000000000334,0.0,0.9377454042041182,0.02137175838741307,0.0,0.0
63,20,50.0,ramp,sliding_window,distributed,10.0,0.01,True,50,10.0,30.348,1.6345323490221904,0.9715176260042913,0.019406661081694747,0.02848237399570866,0.01940666108169475,0.010000000000000009,0.0,0.944336741021179,0.018498499955155807,0.0,0.0
64,20,50.0,ramp,sliding_window,distributed,10.0,0.03,True,50,10.0,30.105999999999998,1.628914976295571,0.9569618431897575,0.012808357563220315,0.04303815681024246,0.012808357563220312,0.010000000000000009,0.0,0.9423336605396966,0.015287791738575881,0.0,0.0
65,20,50.0,ramp,token_bucket,distributed,1.0,0.01,True,50,10.0,30.631999999999998,1.985592103126924,0.9914303959055024,0.004560737549387867,0.00856960409449745,0.004560737549387875,0.001000000000000334,0.0,0.9387838567907232,0.019466097806460553,11.12,10.955619562580658
66,20,50.0,ramp,token_bucket,distributed,1.0,0.03,True,50,10.0,30.424,1.778826579518082,0.9697337647215059,0.00913487168786622,0.030266235278494036,0.009134871687866215,0.001000000000000334,0.0,0.9410051422160274,0.014094987902865489,9.6,8.323460818673924
67,20,50.0,ramp,token_bucket,distributed,10.0,0.01,True,50,10.0,30.913999999999998,1.7494010403563842,0.99064028643292,0.0046618552011295404,0.009359713567079993,0.004661855201129546,0.010000000000000009,0.0,0.9421346906038339,0.016527623365142904,9.88,9.418365038582865
68,20,50.0,ramp,token_bucket,distributed,10.0,0.03,True,50,10.0,29.858,1.5341564457381784,0.9678132137914167,0.00927932661314844,0.03218678620858331,0.009279326613148443,0.010000000000000009,0.0,0.9415472810983134,0.020228048505768568,7.6,7.557777451076475
69,20,50.0,ramp,leaky_bucket,distributed,1.0,0.01,True,50,10.0,30.921999999999997,1.6446628833897845,0.9897719761385092,0.004349708927903207,0.010228023861490836,0.0043497089279032055,0.13355863791607286,0.0590363228283866,0.9411308821207863,0.019632148990730697,11.08,10.041593499041873
70,20,50.0,ramp,leaky_bucket,distributed,1.0,0.03,True,50,10.0,30.292,1.930889950256099,0.9699289740400835,0.010903129098023663,0.030071025959916606,0.010903129098023665,0.12256291543027739,0.06792963452383181,0.9394517447131299,0.01798019332972948,10.2,9.450925880568528
71,20,50.0,ramp,leaky_bucket,distributed,10.0,0.01,True,50,10.0,30.967999999999996,1.8361307143011363,0.9899997522953421,0.004784517180677411,0.010000247704657697,0.0047845171806774126,0.13526982772160898,0.06377518138391458,0.9398805471197771,0.016370240609057864,9.68,9.32403346197342
72,20,50.0,ramp,leaky_bucket,distributed,10.0,0.03,True,50,10.0,30.638,1.693740239824277,0.9708572930879058,0.008232713381360115,0.029142706912094196,0.008232713381360116,0.12477608958679624,0.05577870756229132,0.9445426362139656,0.01677152682704392,8.6,8.973293709669822
73,20,100.0,constant,sliding_window,distributed,1.0,0.01,True,50,10.0,50.0,0.0,0.4995004995004995,0.0,0.5004995004995005,0.0,0.001000000000000334,0.0,0.9645008205101431,0.01356475676122211,0.0,0.0
74,20,100.0,constant,sliding_window,distributed,1.0,0.03,True,50,10.0,50.0,0.0,0.4995004995004995,0.0,0.5004995004995005,0.0,0.001000000000000334,0.0,0.9641889189381597,0.009928811379321294,0.0,0.0
75,20,100.0,constant,sliding_window,distributed,10.0,0.01,True,50,10.0,50.0,0.0,0.4995004995004995,0.0,0.5004995004995005,0.0,0.010000000000000009,0.0,0.9646218462030346,0.010252586596228,0.0,0.0
76,20,100.0,constant,sliding_window,distributed,10.0,0.03,True,50,10.0,50.0,0.0,0.4995004995004995,0.0,0.5004995004995005,0.0,0.010000000000000009,0.0,0.9656896954287082,0.009438166247407273,0.0,0.0
77,20,100.0,constant,token_bucket,distributed,1.0,0.01,True,50,10.0,54.9,0.0,0.5484515484515484,0.0,0.45154845154845147,5.551115123125783e-17,0.001000000000000334,0.0,0.9641913046710949,0.011871470197397616,97.2,1.2649110640673518
78,20,100.0,constant,token_bucket,distributed,1.0,0.03,True,50,10.0,54.9,0.0,0.5484515484515484,0.0,0.45154845154845147,5.551115123125783e-17,0.001000000000000334,0.0,0.9646287252731502,0.01043806547402016,93.2,3.440930106817051
79,20,100.0,constant,token_bucket,distributed,10.0,0.01,True,50,10.0,54.9,0.0,0.5484515484515484,0.0,0.45154845154845147,5.551115123125783e-17,0.010000000000000009,0.0,0.9657482739112137,0.008970412612525736,97.24,1.7385051049680587
80,20,100.0,constant,token_bucket,distributed,10.0,0.03,True,50,10.0,54.9,0.0,0.5484515484515484,0.0,0.45154845154845147,5.551115123125783e-17,0.010000000000000009,0.0,0.9683584408155015,0.010159437595204228,94.96,2.8068487668558135
81,20,100.0,constant,leaky_bucket,distributed,1.0,0.01,True,50,10.0,54.9,0.0,0.5484515484515484,0.0,0.45154845154845147,5.551115123125783e-17,0.9810000000000006,1.1102230246251565e-16,0.967078377956936,0.010049378504514978,97.36,1.162067123706716
82,20,100.0,constant,leaky_bucket,distributed,1.0,0.03,True,50,10.0,54.9,0.0,0.5484515484515484,0.0,0.45154845154845147,5.551115123125783e-17,0.9810000000000006,1.1102230246251565e-16,0.9671633011406644,0.00979733796054455,94.56,2.8576913759186806
83,20,100.0,constant,leaky_bucket,distributed,10.0,0.01,True,50,10.0,54.9,0.0,0.5484515484515484,0.0,0.45154845154845147,5.551115123125783e-17,0.9900000000000004,3.14018491736755e-17,0.9679428522161752,0.010623806570862777,97.4,1.2165525060596438
84,20,100.0,constant,leaky_bucket,distributed,10.0,0.03,True,50,10.0,54.9,0.0,0.5484515484515484,0.0,0.45154845154845147,5.551115123125783e-17,0.9900000000000005,1.1102230246251565e-16,0.9649206952711539,0.011907523930133208,94.68,2.7888348821685374
85,20,100.0,poisson,sliding_window,distributed,1.0,0.01,True,50,10.0,49.97200000000001,0.08953211714239721,0.4994202863221049,0.014289210766944652,0.5005797136778951,0.014289210766944647,0.001000000000000334,0.0,0.9625895054222486,0.010932095657486894,0.0,0.0
86,20,100.0,poisson,sliding_window,distributed,1.0,0.03,True,50,10.0,49.934,0.20259318843435925,0.4980023374657266,0.015364576710837418,0.5019976625342735,0.015364576710837408,0.001000000000000334,0.0,0.9667235690632876,0.008879046260909964,0.0,0.0
87,20,100.0,poisson,sliding_window,distributed,10.0,0.01,True,50,10.0,49.964,0.12289833196589815,0.4987203144047369,0.015264640745861209,0.501279685595263,0.015264640745861223,0.010000000000000009,0.0,0.9607923242796794,0.01111842247899387,0.0,0.0
